지점번호,지점명,일시,평균습도rh,최저습도rh
108,서울,Jan-12,49,12
108,서울,Feb-12,43,11
108,서울,Mar-12,52,9
108,서울,Apr-12,54,9
108,서울,May-12,48,11
108,서울,Jun-12,54,21
108,서울,Jul-12,74,38
108,서울,Aug-12,68,31
108,서울,Sep-12,65,26
108,서울,Oct-12,58,14
108,서울,Nov-12,57,15
108,서울,Dec-12,57,17
108,서울,Jan-13,57,21
108,서울,Feb-13,54,15
108,서울,Mar-13,49,8
108,서울,Apr-13,54,12
108,서울,May-13,58,11
108,서울,Jun-13,60,15
108,서울,Jul-13,79,40
108,서울,Aug-13,69,28
108,서울,Sep-13,63,16
108,서울,Oct-13,59,19
108,서울,Nov-13,58,18
108,서울,Dec-13,60,20
108,서울,Jan-14,50,13
108,서울,Feb-14,52,16
108,서울,Mar-14,60,16
108,서울,Apr-14,60,15
108,서울,May-14,59,18
108,서울,Jun-14,73,32
108,서울,Jul-14,74,27
108,서울,Aug-14,77,32
108,서울,Sep-14,69,22
108,서울,Oct-14,63,15
108,서울,Nov-14,61,18
108,서울,Dec-14,56,21
108,서울,Jan-15,56,22
108,서울,Feb-15,59,17
108,서울,Mar-15,45,9
108,서울,Apr-15,55,11
108,서울,May-15,53,12
108,서울,Jun-15,60,13
108,서울,Jul-15,71,28
108,서울,Aug-15,70,29
108,서울,Sep-15,56,15
108,서울,Oct-15,61,17
108,서울,Nov-15,74,23
108,서울,Dec-15,60,19
108,서울,Jan-16,53,17
108,서울,Feb-16,52,16
108,서울,Mar-16,51,15
108,서울,Apr-16,55,13
108,서울,May-16,56,10
108,서울,Jun-16,63,21
108,서울,Jul-16,73,37
108,서울,Aug-16,64,27
108,서울,Sep-16,65,26
108,서울,Oct-16,62,13
108,서울,Nov-16,57,19
108,서울,Dec-16,59,16
108,서울,Jan-17,55,17
108,서울,Feb-17,54,18
108,서울,Mar-17,48,15
108,서울,Apr-17,52,10
108,서울,May-17,52,7
108,서울,Jun-17,57,14
108,서울,Jul-17,77,38
108,서울,Aug-17,71,19
108,서울,Sep-17,61,20
108,서울,Oct-17,56,16
108,서울,Nov-17,54,13
108,서울,Dec-17,56,14
108,서울,Jan-18,48,16
108,서울,Feb-18,45,13
108,서울,Mar-18,59,13
108,서울,Apr-18,55,8
108,서울,May-18,63,22
108,서울,Jun-18,63,19
108,서울,Jul-18,68,29
108,서울,Aug-18,65,25
108,서울,Sep-18,61,23
108,서울,Oct-18,59,16
108,서울,Nov-18,58,12
108,서울,Dec-18,46,16
108,서울,Jan-19,46,11
108,서울,Feb-19,47,15
108,서울,Mar-19,51,10
108,서울,Apr-19,51,10
108,서울,May-19,47,12
108,서울,Jun-19,61,22
108,서울,Jul-19,69,24
108,서울,Aug-19,69,28
108,서울,Sep-19,65,24
108,서울,Oct-19,62,23
108,서울,Nov-19,56,14
108,서울,Dec-19,58,17
108,서울,Jan-20,56,17
108,서울,Feb-20,58,14
108,서울,Mar-20,46,11
108,서울,Apr-20,50,10
108,서울,May-20,67,11
108,서울,Jun-20,68,26
108,서울,Jul-20,77,34
108,서울,Aug-20,85,49
108,서울,Sep-20,71,27
108,서울,Oct-20,61,20
108,서울,Nov-20,64,18
108,서울,Dec-20,58,24
108,서울,Jan-21,58,19
108,서울,Feb-21,56,18
108,서울,Mar-21,63,19
108,서울,Apr-21,54,18
108,서울,May-21,68,25
108,서울,Jun-21,73,36
108,서울,Jul-21,71,37
108,서울,Aug-21,74,39
108,서울,Sep-21,71,38
108,서울,Oct-21,70,25
108,서울,Nov-21,68,27
108,서울,Dec-21,62,26
108,서울,Jan-22,55,21
108,서울,Feb-22,55,21
108,서울,Mar-22,62,15
108,서울,Apr-22,55,17
108,서울,May-22,,16
,,,,
,,,,
,,,,
