지점번호,지점명,일시,평균기온,평균최고기온,최고기온,최고기온일자,평균최저기온,최저기온,최저기온일자
108,서울,Jan00,21,17,99,20000101,57,121,20000107
108,서울,Feb00,17,26,75,20000219,58,116,20000201
108,서울,Mar00,63,114,189,20000327,17,48,20000308
108,서울,Apr00,119,169,235,20000420,73,18,20000411
108,서울,May00,175,227,305,20000525,129,79,20000502
108,서울,Jun00,237,292,339,20000618,191,146,20000609
108,서울,Jul00,268,31,342,20000706,231,199,20000701
108,서울,Aug00,262,30,351,20000802,229,19,20000821
108,서울,Sep00,207,248,31,20000903,171,119,20000919
108,서울,Oct00,149,192,265,20001007,107,35,20001030
108,서울,Nov00,7,111,203,20001106,27,38,20001122
108,서울,Dec00,09,49,119,20001209,29,114,20001226
108,서울,Jan01,41,08,68,20010125,78,186,20010115
108,서울,Feb01,03,37,122,20010222,37,104,20010202
108,서울,Mar01,5,96,21,20010324,09,61,20010308
108,서울,Apr01,136,192,282,20010409,87,21,20010403
108,서울,May01,191,247,315,20010521,148,104,20010510
108,서울,Jun01,225,271,327,20010610,192,156,20010601
108,서울,Jul01,259,299,328,20010726,229,203,20010710
108,서울,Aug01,265,308,353,20010817,228,194,20010813
108,서울,Sep01,225,275,317,20010903,179,11,20010922
108,서울,Oct01,165,21,253,20011014,124,88,20011019
108,서울,Nov01,7,115,16,20011109,29,31,20011127
108,서울,Dec01,06,34,109,20011211,4,88,20011218
108,서울,Jan02,03,39,135,20020115,29,12,20020103
108,서울,Feb02,29,71,126,20020224,08,51,20020209
108,서울,Mar02,76,124,194,20020313,36,29,20020307
108,서울,Apr02,136,186,277,20020422,88,43,20020410
108,서울,May02,182,235,277,20020523,133,10,20020508
108,서울,Jun02,222,273,32,20020629,179,145,20020626
108,서울,Jul02,252,288,348,20020728,222,189,20020720
108,서울,Aug02,242,275,322,20020829,214,179,20020812
108,서울,Sep02,216,261,306,20020903,178,135,20020923
108,서울,Oct02,128,177,249,20021017,88,03,20021028
108,서울,Nov02,4,8,167,20021107,03,48,20021119
108,서울,Dec02,17,53,159,20021204,16,91,20021210
108,서울,Jan03,25,11,87,20030113,58,155,20030105
108,서울,Feb03,27,66,119,20030228,07,83,20030212
108,서울,Mar03,65,106,209,20030331,29,5,20030304
108,서울,Apr03,132,179,246,20030428,9,48,20030410
108,서울,May03,196,25,304,20030528,144,85,20030501
108,서울,Jun03,215,258,311,20030609,18,144,20030607
108,서울,Jul03,238,277,314,20030730,207,183,20030718
108,서울,Aug03,241,276,322,20030805,213,166,20030831
108,서울,Sep03,209,249,287,20030908,175,138,20030922
108,서울,Oct03,139,19,26,20031010,96,27,20031029
108,서울,Nov03,95,135,213,20031102,59,32,20031122
108,서울,Dec03,07,44,12,20031201,28,81,20031220
108,서울,Jan04,15,21,81,20040105,49,167,20040122
108,서울,Feb04,23,69,187,20040220,16,78,20040206
108,서울,Mar04,63,111,187,20040316,21,56,20040307
108,서울,Apr04,131,183,273,20040418,85,27,20040404
108,서울,May04,176,222,276,20040527,137,88,20040505
108,서울,Jun04,232,277,325,20040603,193,146,20040601
108,서울,Jul04,248,277,345,20040731,223,195,20040705
108,서울,Aug04,261,302,362,20040810,228,187,20040824
108,서울,Sep04,217,263,313,20040905,178,128,20040922
108,서울,Oct04,152,208,256,20041008,103,53,20041027
108,서울,Nov04,91,134,215,20041109,53,02,20041113
108,서울,Dec04,19,58,162,20041203,14,83,20041230
108,서울,Jan05,25,15,73,20050128,62,11,20050131
108,서울,Feb05,19,22,105,20050217,55,131,20050201
108,서울,Mar05,41,88,176,20050327,02,65,20050312
108,서울,Apr05,132,181,298,20050430,89,41,20050404
108,서울,May05,177,229,302,20050529,13,63,20050507
108,서울,Jun05,227,273,32,20050624,191,155,20050601
108,서울,Jul05,253,288,342,20050722,227,183,20050712
108,서울,Aug05,251,287,35,20050806,224,165,20050824
108,서울,Sep05,218,257,308,20050911,186,138,20050921
108,서울,Oct05,147,194,249,20051006,107,3,20051023
108,서울,Nov05,86,129,218,20051104,46,11,20051116
108,서울,Dec05,39,01,111,20051201,74,14,20051218
108,서울,Jan06,02,34,93,20060114,33,101,20060106
108,서울,Feb06,01,42,115,20060224,4,141,20060203
108,서울,Mar06,52,99,172,20060322,09,69,20060313
108,서울,Apr06,116,162,222,20060411,77,29,20060416
108,서울,May06,184,234,283,20060521,14,108,20060514
108,서울,Jun06,218,263,324,20060602,181,141,20060612
108,서울,Jul06,231,26,301,20060731,209,175,20060718
108,서울,Aug06,27,311,347,20060804,239,208,20060819
108,서울,Sep06,211,257,303,20060902,169,113,20060911
108,서울,Oct06,179,226,275,20061004,139,79,20061030
108,서울,Nov06,84,124,202,20061103,45,13,20061107
108,서울,Dec06,14,54,126,20061226,2,123,20061229
108,서울,Jan07,04,41,118,20070104,28,76,20070114
108,서울,Feb07,4,87,148,20070228,01,86,20070202
108,서울,Mar07,61,103,162,20070323,23,76,20070306
108,서울,Apr07,114,161,225,20070429,75,16,20070403
108,서울,May07,181,234,301,20070527,136,9,20070510
108,서울,Jun07,232,277,332,20070618,192,141,20070609
108,서울,Jul07,242,278,312,20070730,213,177,20070711
108,서울,Aug07,265,299,332,20070823,238,198,20070831
108,서울,Sep07,215,251,311,20070920,186,141,20070929
108,서울,Oct07,151,196,262,20071005,113,32,20071020
108,서울,Nov07,67,114,193,20071108,28,55,20071119
108,서울,Dec07,18,54,138,20071226,14,74,20071230
108,서울,Jan08,17,19,73,20080106,5,111,20080117
108,서울,Feb08,12,32,105,20080222,49,101,20080213
108,서울,Mar08,73,119,198,20080321,37,17,20080305
108,서울,Apr08,141,195,28,20080419,93,38,20080404
108,서울,May08,177,227,285,20080529,131,81,20080514
108,서울,Jun08,215,261,296,20080620,176,137,20080605
108,서울,Jul08,251,284,329,20080709,226,202,20080701
108,서울,Aug08,253,295,354,20080808,218,163,20080822
108,서울,Sep08,22,269,32,20080917,18,103,20080927
108,서울,Oct08,161,21,283,20081018,121,56,20081028
108,서울,Nov08,76,117,184,20081106,38,72,20081119
108,서울,Dec08,11,5,133,20081210,27,131,20081206
108,서울,Jan09,2,23,122,20090130,55,114,20090124
108,서울,Feb09,29,68,161,20090213,06,86,20090217
108,서울,Mar09,6,106,222,20090321,18,33,20090314
108,서울,Apr09,127,18,258,20090419,81,22,20090401
108,서울,May09,191,243,31,20090528,146,98,20090505
108,서울,Jun09,224,267,324,20090627,188,143,20090601
108,서울,Jul09,243,282,324,20090716,21,187,20090710
108,서울,Aug09,257,295,344,20090816,224,164,20090831
108,서울,Sep09,218,263,299,20090906,177,144,20090922
108,서울,Oct09,16,209,264,20091001,117,62,20091020
108,서울,Nov09,69,104,218,20091109,37,43,20091118
108,서울,Dec09,1,25,101,20091201,42,129,20091231
108,서울,Jan10,45,07,84,20100120,81,153,20100113
108,서울,Feb10,14,49,179,20100224,17,108,20100203
108,서울,Mar10,43,81,142,20100330,05,4,20100310
108,서울,Apr10,95,14,207,20100420,56,11,20100403
108,서울,May10,172,22,286,20100521,13,58,20100501
108,서울,Jun10,234,282,327,20100610,193,121,20100601
108,서울,Jul10,258,293,323,20100720,231,21,20100712
108,서울,Aug10,265,30,338,20100805,238,199,20100825
108,서울,Sep10,218,26,314,20100901,185,84,20100930
108,서울,Oct10,145,193,242,20101009,104,07,20101027
108,서울,Nov10,65,113,174,20101113,25,52,20101128
108,서울,Dec10,13,31,135,20101202,51,151,20101224
108,서울,Jan11,72,34,03,20110114,105,178,20110116
108,서울,Feb11,12,59,132,20110226,25,92,20110212
108,서울,Mar11,36,83,168,20110331,01,55,20110303
108,서울,Apr11,107,156,19,20110415,68,43,20110401
108,서울,May11,179,23,312,20110529,136,85,20110502
108,서울,Jun11,22,266,329,20110619,184,144,20110603
108,서울,Jul11,246,28,341,20110718,22,189,20110704
108,서울,Aug11,258,295,341,20110805,23,181,20110823
108,서울,Sep11,218,266,324,20110902,177,103,20110930
108,서울,Oct11,142,193,234,20111013,97,31,20111026
108,서울,Nov11,107,147,259,20111105,72,55,20111124
108,서울,Dec11,09,29,91,20111203,41,106,20111217
108,서울,Jan12,28,13,84,20120119,63,122,20120123
108,서울,Feb12,2,3,121,20120222,6,171,20120202
108,서울,Mar12,51,95,162,20120329,15,57,20120312
108,서울,Apr12,123,179,294,20120430,78,06,20120407
108,서울,May12,197,251,293,20120522,154,12,20120518
108,서울,Jun12,241,297,335,20120619,20,163,20120601
108,서울,Jul12,254,29,332,20120729,224,185,20120707
108,서울,Aug12,271,309,367,20120805,239,187,20120831
108,서울,Sep12,21,25,295,20120902,174,12,20120930
108,서울,Oct12,153,205,26,20121003,11,28,20121031
108,서울,Nov12,55,95,157,20121103,18,3,20121130
108,서울,Dec12,41,05,83,20121215,74,145,20121226
108,서울,Jan13,34,03,115,20130131,66,164,20130103
108,서울,Feb13,12,28,139,20130228,49,158,20130208
108,서울,Mar13,51,108,238,20130309,07,44,20130302
108,서울,Apr13,10,15,216,20130428,57,13,20130410
108,서울,May13,182,236,318,20130525,137,79,20130506
108,서울,Jun13,244,292,326,20130629,205,163,20130602
108,서울,Jul13,255,283,313,20130701,234,205,20130703
108,서울,Aug13,277,311,339,20130821,248,211,20130831
108,서울,Sep13,218,259,311,20130918,18,109,20130927
108,서울,Oct13,158,212,281,20131005,109,43,20131026
108,서울,Nov13,62,107,207,20131101,21,64,20131128
108,서울,Dec13,02,35,11,20131207,35,98,20131228
108,서울,Jan14,07,35,82,20140129,49,105,20140113
108,서울,Feb14,19,66,164,20140226,18,105,20140204
108,서울,Mar14,79,131,238,20140328,35,46,20140307
108,서울,Apr14,14,196,262,20140424,94,23,20140406
108,서울,May14,189,253,333,20140531,138,68,20140505
108,서울,Jun14,231,278,311,20140606,197,173,20140612
108,서울,Jul14,261,306,344,20140731,229,191,20140724
108,서울,Aug14,252,29,358,20140802,221,183,20140811
108,서울,Sep14,221,27,313,20140907,18,149,20140919
108,서울,Oct14,156,214,29,20141012,107,27,20141028
108,서울,Nov14,9,138,229,20141101,49,31,20141113
108,서울,Dec14,29,15,79,20141201,67,132,20141218
108,서울,Jan15,09,36,9,20150115,48,98,20150101
108,서울,Feb15,1,6,13,20150215,29,13,20150209
108,서울,Mar15,63,124,219,20150320,1,69,20150310
108,서울,Apr15,133,188,283,20150430,84,35,20150408
108,서울,May15,189,249,322,20150528,136,83,20150505
108,서울,Jun15,236,295,349,20150610,189,156,20150621
108,서울,Jul15,258,30,36,20150711,226,182,20150704
108,서울,Aug15,263,308,344,20150807,228,189,20150826
108,서울,Sep15,224,281,31,20150922,175,142,20150927
108,서울,Oct15,155,212,266,20151017,108,11,20151031
108,서울,Nov15,89,127,21,20151112,59,73,20151127
108,서울,Dec15,16,6,122,20151213,21,95,20151228
108,서울,Jan16,32,11,95,20160102,68,18,20160124
108,서울,Feb16,02,51,144,20160213,41,10,20160215
108,서울,Mar16,7,126,214,20160331,24,75,20160301
108,서울,Apr16,141,203,296,20160426,91,51,20160404
108,서울,May16,196,257,319,20160519,141,89,20160503
108,서울,Jun16,236,287,322,20160605,195,171,20160601
108,서울,Jul16,262,298,341,20160722,233,198,20160716
108,서울,Aug16,28,326,366,20160821,245,161,20160831
108,서울,Sep16,231,279,311,20160905,193,143,20160921
108,서울,Oct16,161,213,29,20161004,116,07,20161031
108,서울,Nov16,68,116,186,20161119,28,62,20161124
108,서울,Dec16,12,58,136,20161220,27,98,20161216
108,서울,Jan17,18,29,114,20170106,58,126,20170123
108,서울,Feb17,02,48,123,20170228,47,93,20170210
108,서울,Mar17,63,123,189,20170319,17,53,20170308
108,서울,Apr17,139,20,278,20170430,91,31,20170402
108,서울,May17,195,254,303,20170530,144,10,20170506
108,서울,Jun17,233,288,341,20170623,187,145,20170606
108,서울,Jul17,269,304,354,20170725,243,219,20170703
108,서울,Aug17,259,297,353,20170804,229,161,20170830
108,서울,Sep17,221,274,314,20170926,175,112,20170929
108,서울,Oct17,164,225,294,20171002,116,25,20171030
108,서울,Nov17,56,105,184,20171107,13,66,20171119
108,서울,Dec17,19,22,87,20171223,57,123,20171212
108,서울,Jan18,4,01,87,20180117,73,178,20180126
108,서울,Feb18,16,33,104,20180226,59,134,20180207
108,서울,Mar18,81,136,221,20180314,38,67,20180302
108,서울,Apr18,13,185,263,20180420,81,01,20180409
108,서울,May18,182,233,296,20180526,134,69,20180503
108,서울,Jun18,231,284,329,20180625,189,163,20180616
108,서울,Jul18,278,321,383,20180731,242,177,20180708
108,서울,Aug18,288,333,396,20180801,252,202,20180827
108,서울,Sep18,215,26,309,20180901,176,108,20180925
108,서울,Oct18,131,186,256,20181004,85,07,20181030
108,서울,Nov18,78,132,194,20181104,36,31,20181123
108,서울,Dec18,06,41,135,20181203,47,144,20181228
108,서울,Jan19,09,41,85,20190119,51,101,20190116
108,서울,Feb19,1,6,145,20190223,32,102,20190208
108,서울,Mar19,71,124,176,20190326,27,17,20190314
108,서울,Apr19,121,176,282,20190422,72,03,20190401
108,서울,May19,194,256,334,20190524,137,84,20190507
108,서울,Jun19,225,277,328,20190625,181,141,20190602
108,서울,Jul19,259,301,361,20190706,227,193,20190710
108,서울,Aug19,272,316,368,20190806,236,185,20190831
108,서울,Sep19,226,271,305,20190916,19,136,20190919
108,서울,Oct19,164,218,282,20191001,118,47,20191027
108,서울,Nov19,76,129,221,20191103,31,46,20191120
108,서울,Dec19,14,53,129,20191216,26,109,20191231
108,서울,Jan20,16,59,119,20200126,17,65,20200101
108,서울,Feb20,25,72,156,20200215,13,118,20200206
108,서울,Mar20,77,133,206,20200326,26,28,20200305
108,서울,Apr20,111,166,238,20200416,63,19,20200405
108,서울,May20,18,233,30,20200530,137,92,20200520
108,서울,Jun20,239,29,354,20200622,199,148,20200602
108,서울,Jul20,241,28,329,20200709,211,172,20200714
108,서울,Aug20,265,293,345,20200826,244,215,20200823
108,서울,Sep20,214,256,295,20200901,18,136,20200921
108,서울,Oct20,143,195,236,20201001,96,32,20201024
108,서울,Nov20,8,126,20,20201117,4,36,20201130
108,서울,Dec20,03,39,114,20201228,42,129,20201231
108,서울,Jan21,24,22,139,20210125,68,186,20210108
108,서울,Feb21,27,79,174,20210221,22,106,20210218
108,서울,Mar21,9,148,229,20210331,43,12,20210303
108,서울,Apr21,142,195,282,20210421,95,31,20210414
108,서울,May21,171,219,308,20210514,128,73,20210502
108,서울,Jun21,228,276,316,20210609,189,133,20210604
108,서울,Jul21,281,322,365,20210724,246,196,20210703
108,서울,Aug21,259,297,337,20210805,228,181,20210831
108,서울,Sep21,226,269,303,20210913,188,16,20210930
108,서울,Oct21,156,205,288,20211003,116,13,20211017
108,서울,Nov21,82,131,213,20211107,4,37,20211123
108,서울,Dec21,06,51,133,20211208,35,155,20211226
108,서울,Jan22,22,26,84,20220124,62,113,20220112
108,서울,Feb22,11,38,115,20220228,53,107,20220217
108,서울,Mar22,77,127,195,20220312,32,3,20220306
108,서울,Apr22,148,206,287,20220426,10,35,20220403
108,서울,May22,,,258,20220505,,79,20220501
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
